Update,Time,Sportsbook,Type,Denver Broncos,Detroit Lions
0,2023-12-15 11:51:27-05:00,draftkings,h2h,1.46,2.85
0,2023-12-15 11:52:20-05:00,fanduel,h2h,1.45,2.8
0,2023-12-15 11:51:31-05:00,mybookieag,h2h,1.45,2.8
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,1.47,2.75
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,1.45,2.8
0,2023-12-15 11:51:53-05:00,superbook,h2h,1.45,2.8
0,2023-12-15 11:51:32-05:00,betonlineag,h2h,1.47,2.83
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,1.48,2.8
0,2023-12-15 11:51:44-05:00,betus,h2h,1.45,2.8
0,2023-12-15 11:52:08-05:00,bovada,h2h,1.43,2.9
0,2023-12-15 11:52:22-05:00,betrivers,h2h,1.45,2.75
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,1.45,2.75
0,2023-12-15 11:51:28-05:00,betparx,h2h,1.45,2.75
0,2023-12-15 11:51:27-05:00,pointsbetus,h2h,1.44,2.85
0,2023-12-15 11:52:16-05:00,lowvig,h2h,1.47,2.83
0,2023-12-15 11:51:39-05:00,windcreek,h2h,1.45,2.8
0,2023-12-15 11:51:45-05:00,espnbet,h2h,1.48,2.75
0,2023-12-15 11:51:27-05:00,fliff,h2h,1.42,2.7
0,2023-12-15 11:52:20-05:00,betmgm,h2h,1.44,2.8
0,2023-12-15 11:51:31-05:00,wynnbet,h2h,1.49,2.75
0,2023-12-15 11:52:19-05:00,hardrockbet,h2h,1.44,2.85
