Update,Time,Sportsbook,Type,New Orleans Saints,Los Angeles Rams
0,2023-12-15 11:52:20-05:00,fanduel,h2h,2.64,1.51
0,2023-12-15 11:51:27-05:00,draftkings,h2h,2.6,1.52
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,2.6,1.5
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,2.7,1.5
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,2.62,1.51
0,2023-12-15 11:52:08-05:00,bovada,h2h,2.7,1.5
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,2.6,1.5
0,2023-12-15 11:51:28-05:00,betparx,h2h,2.6,1.5
0,2023-12-15 11:52:22-05:00,betrivers,h2h,2.6,1.5
